"Author_id","Isbn"
"1","0195153445"
"1","0195153448"
"2","0002005018"
"3","0060973129"
"4","0374157065"
"5","0393045218"
"6","0399135782"
"7","0425176428"
"8","0671870432"
"9","0679425608"
"10","074322678X"
"11","0771074670"
"12","080652121X"
"13","0887841740"
"14","1552041778"
"15","1558746218"
"16","1567407781"
"17","1575663937"
"18","1881320189"
"19","0440234743"
"20","0452264464"
"21","0609804618"
"22","1841721522"
"23","1879384493"
"24","0061076031"
"25","0439095026"
"26","0689821166"
"27","0971880107"
"28","0345402871"
"28","0345417623"
"29","0684823802"
"30","0375759778"
"31","0425163091"
"32","3404921038"
"33","3442353866"
"34","3442410665"
"35","3442446937"
"36","0375406328"
"37","0446310786"
"38","0449005615"
"39","0060168013"
"40","038078243X"
"41","055321215X"
"42","067176537X"
"43","0061099686"
"44","0553582909"
"45","0671888587"
"44","0553582747"
"46","0425182908"
"47","042518630X"
"48","0440223571"
"49","0812523873"
"50","0842342702"
"19","0440225701"
"51","0060914068"
"52","0156047624"
"53","0245542957"
"54","0380715899"
"55","0553280333"
"56","0961769947"
"57","0964778319"
"58","0671623249"
"59","0679810307"
"59","0679865691"
"60","2070423204"
"61","0345260317"
"62","0394743741"
"63","042511774X"
"6","0804106304"
"64","1853262404"
"65","0312970242"
"66","1853260053"
"67","1414035004"
"68","0060938412"
"69","0140067477"
"38","0345465083"
"70","0451625889"
"71","1558531025"
"72","0441783589"
"73","0394895894"
"74","1569871213"
"75","0375410538"
"76","0966986105"
"77","087113375X"
"78","0340767936"
"79","0743403843"
"80","0060930365"
"81","0060177586"
"82","0071416331"
"83","0375509038"
"84","0553062042"
"85","0316769487"
"86","0679429220"
"45","0671867156"
"87","0312252617"
"88","0312261594"
"89","0316748641"
"90","0316973742"
"91","0385235941"
"92","0446677450"
"93","0451166892"
"94","0553347594"
"95","0671621009"
"96","067976397X"
"97","0684822733"
"98","0786868716"
"99","0671864769"
"100","0671521519"
"101","0440222303"
"102","0312953453"
"103","0446608653"
"104","0446612545"
"103","0446612618"
"105","0451208080"
"106","0553584383"
"107","0671027360"
"108","0812575954"
"109","0316735736"
"110","0743439740"
"111","0345372700"
"112","0380619458"
"111","0446325805"
"113","0451406923"
"114","0671042858"
"115","0743249992"
"116","0840734530"
"117","0425184226"
"118","0375500766"
"119","9724119378"
"120","0451205197"
"121","0060929790"
"122","0060976845"
"123","0061099325"
"45","0671004573"
"124","0446601640"
"125","0330484516"
"126","038572179X"
"127","0393020371"
"128","1900850303"
"129","1903019699"
"130","0345425294"
"131","0451410319"
"132","0553583468"
"133","0380778556"
"134","0451525221"
"135","0002740230"
"136","0385336772"
"137","0440949424"
"138","0505524996"
"139","0140252800"
"140","0451452755"
"141","0812575482"
"124","044651747X"
"142","0060801263"
"143","0061030147"
"144","0140250964"
"145","0446527165"
"146","0671461494"
"147","0385337639"
"148","039575514X"
"149","0451206673"
"150","0330332775"
"151","0486284735"
"152","0671021745"
"152","0671047612"
"152","0671504282"
"153","0399138684"
"154","0785263292"
"155","0830714014"
"156","0345354931"
"157","0553278223"
"158","3150000335"
"159","3257203659"
"160","3257207522"
"157","3257208626"
"161","3257208634"
"162","3257208669"
"163","3257210450"
"157","3257212054"
"157","3257212429"
"164","3257214154"
"157","3257216416"
"165","3257233051"
"166","342311360X"
"167","3423116714"
"168","3423241489"
"169","3426605686"
"170","3453212150"
"171","3462021095"
"172","3492045642"
"173","3498020862"
"174","3499110695"
"175","3499151502"
"176","3518111000"
"177","3548254268"
"178","3570300099"
"179","3596292646"
"180","0060977493"
"181","0312872682"
"182","0316602906"
"182","0316693006"
"183","0345311396"
"28","0345378490"
"183","0345404793"
"184","0345433173"
"185","0375400117"
"186","0375705856"
"187","0380717018"
"188","0380718332"
"189","0380754509"
"190","038076654X"
"190","0380807866"
"191","0385316895"
"19","0385497466"
"19","0385508042"
"192","0385509456"
"19","0385511612"
"193","0385730586"
"194","0425164403"
"195","0440234964"
"182","0446605484"
"196","0446610399"
"197","0449006522"
"184","0449911004"
"114","0451162072"
"198","0451186648"
"199","0452282152"
"200","051513290X"
"201","0553580388"
"202","0590598848"
"203","0590629719"
"46","0671023616"
"107","0671027387"
"204","0684848783"
"107","0743486226"
"205","0786863986"
"206","0803251718"
"207","0804117934"
"208","140003180X"
"209","155874262X"
"210","0060987103"
"211","0151008116"
"212","0375704965"
"213","0525947647"
"214","0804111359"
"15","1558744150"
"215","0435272683"
"109","0316782505"
"216","006102063X"
"216","0060013117"
"216","0060199563"
"217","006052779X"
"218","0060563079"
"219","0060809027"
"220","0061040967"
"216","0061050474"
"216","0061052515"
"216","0061052523"
"221","0064472264"
"222","0140620664"
"223","0312148267"
"224","0312156960"
"225","0312890044"
"226","034543191X"
"227","0373836023"
"228","0375751513"
"229","0375801677"
"230","0375814248"
"73","0375823352"
"73","037582345X"
"73","0375823468"
"170","0380730448"
"157","0380973839"
"231","0385327773"
"232","0394586239"
"233","0439510112"
"234","0440241413"
"235","0451409256"
"236","0451523415"
"237","0451526279"
"238","0451526341"
"239","0486415864"
"240","0553280589"
"39","0571197639"
"241","0670035262"
"239","0679423079"
"232","0679751343"
"242","0684833395"
"243","0743245024"
"244","0749748001"
"244","0749748028"
"245","0963094424"
"246","1401201172"
"247","1563892278"
"248","1563898586"
"249","156971620X"
"250","1592571301"
"251","0374270325"
"252","0375719180"
"253","0440235502"
"19","044023722X"
"254","1573225487"
"66","1853260673"
"255","0060977477"
"256","0345391691"
"257","0520011171"
"258","0553278746"
"259","0670856045"
"260","0872200760"
"261","0937858994"
"262","0671649949"
"263","0590431110"
"264","0064470113"
"265","0553571486"
"266","0972044205"
"267","0312963009"
"268","0345430476"
"269","0345435869"
"270","0380728729"
"271","038081840X"
"272","0449912302"
"273","055329198X"
"274","0671018930"
"275","0812541642"
"276","0312988699"
"277","0486282112"
"278","0670815373"
"279","0385313748"
"280","1575843366"
"46","0684193957"
"281","0345371984"
"282","0380730138"
"283","1573228737"
"284","9681500555"
"285","0380711109"
"286","0452283914"
"117","0425120279"
"287","067153484X"
"288","0380728273"
"289","0446606197"
"290","0771076002"
"291","0771088191"
"292","1559703237"
"293","3596214629"
"294","0062770500"
"295","0671847546"
"296","0060188731"
"297","0140374248"
"298","0142001740"
"299","0195086295"
"107","0312995423"
"300","0380704587"
"301","0380815923"
"19","0385416342"
"302","0385418493"
"19","038542471X"
"303","0425098109"
"304","0449005410"
"305","0449202631"
